DATE,PCA1,PCA2
20000101,-4169.501876864437,-10.363643823980421
20000102,-4168.502237452014,-9.494454744143976
20000103,-4167.501492076037,-9.228759415649982
20000104,-4166.501732324839,-7.968149086914824
20000105,-4165.502069963337,-8.740332778288234
20000106,-4164.501566705398,-8.069804331688644
20000107,-4163.502109388917,-8.657237871406076
20000108,-4162.5020388919875,-8.372303210405022
20000109,-4161.5024846093,-10.438148241498503
20000110,-4160.50251216938,-10.955473088860433
20000111,-4159.502514633607,-10.415860370557484
20000112,-4158.502526006394,-10.594630613215614
20000113,-4157.502208890664,-10.98295640472341
20000114,-4156.502384904637,-10.854087736948124
20000115,-4155.50191495457,-11.267770533310994
20000116,-4154.501992987398,-11.220844325295438
20000117,-4153.501537211843,-9.139578408523956
20000118,-4152.501577786525,-8.980853679268078
20000119,-4151.500995515371,-8.256792373496562
20000120,-4150.501311771892,-9.143783761442467
20000121,-4149.502217194304,-9.853314052225024
20000122,-4148.502534394482,-11.679410771357151
20000123,-4147.502725169306,-12.954831521778228
20000124,-4146.501848462807,-11.996132470165463
20000125,-4145.50139376649,-11.632707720851487
20000126,-4144.502112788907,-12.043590798181068
20000127,-4143.501353891796,-8.768157702603386
20000128,-4142.502113491326,-9.941656299855609
20000129,-4141.502941848101,-8.607240370291187
20000130,-4140.501509854137,-5.369598348832836
20000131,-4139.501797428698,-5.9658008561400315
20000201,-4138.502068848818,-5.969286065103235
20000202,-4137.5018785202865,-6.097825599968846
20000203,-4136.501681745698,-6.46641184995519
20000204,-4135.501047366115,-5.864934662327229
20000205,-4134.500475301404,-3.442428305255104
20000206,-4133.500660662014,-3.364903680992055
20000207,-4132.501484229038,-5.304027756381236
20000208,-4131.501875782009,-5.451156749468566
20000209,-4130.501382391551,-6.662084475425374
20000210,-4129.500608163191,-4.751023584161352
20000211,-4128.50092966818,-5.356164218438693
20000212,-4127.50217279565,-7.799812534862685
20000213,-4126.501386186201,-5.84508534647123
20000214,-4125.501171058037,-5.450725923607791
20000215,-4124.501992417199,-7.375320569396333
20000216,-4123.502012396848,-8.08815075242305
20000217,-4122.501792794932,-8.198906362503577
20000218,-4121.501355216531,-7.827190697230748
20000219,-4120.5017798854915,-7.857962899789065
20000220,-4119.50115567427,-7.765720034397521
20000221,-4118.500643615647,-7.519143857476061
20000222,-4117.501270991679,-7.826152142684361
20000223,-4116.501368080848,-7.073531085416528
20000224,-4115.501283110658,-6.557233463908561
20000225,-4114.500761378789,-4.607184381946693
20000226,-4113.501758755876,-5.6716472788963195
20000227,-4112.500728876788,-3.2779896529272734
20000228,-4111.500598019695,-2.2092743158939423
20000229,-4110.501442124107,-4.740748656463859
20000301,-4109.5015929537385,-6.460368150907586
20000302,-4108.501298703301,-6.3207255586986015
20000303,-4107.5011406242575,-4.631389954366751
20000304,-4106.501013070181,-6.383292241960252
20000305,-4105.500620274359,-5.885911612884032
20000306,-4104.500873257051,-4.050452023530321
20000307,-4103.500274983035,-1.4258176551789927
20000308,-4102.500752209962,-2.938151283267897
20000309,-4101.50034315282,-1.3456884828536313
20000310,-4100.5013475846645,-3.558095334536468
20000311,-4099.50129273685,-4.277205518618834
20000312,-4098.50040393736,-2.733300020245258
20000313,-4097.500707097355,-3.046287709176911
20000314,-4096.501014411753,-2.6600454057447407
20000315,-4095.500799817568,-4.090192881251443
20000316,-4094.5005461732835,-5.72786690721485
20000317,-4093.5010365057824,-5.827779887616108
20000318,-4092.501101140291,-4.719564079037184
20000319,-4091.5009249817213,-5.85273194738277
20000320,-4090.5010006527227,-3.8682823436570772
20000321,-4089.4999439932235,-1.0562271429269834
20000322,-4088.4995205999257,0.8983081659097913
20000323,-4087.4993095095433,0.7886904790058114
20000324,-4086.5006308951124,-2.620941181931213
20000325,-4085.5011448582554,-2.9221740602125332
20000326,-4084.5013338008575,-3.9953387015249766
20000327,-4083.501015889251,-4.6268522501265625
20000328,-4082.5015305204543,-5.5868482412876315
20000329,-4081.501456138838,-6.2080589087858264
20000330,-4080.500676976737,-4.454714673967894
20000331,-4079.500638166148,-2.5950641942572186
20000401,-4078.501074526299,-4.394808220718188
20000402,-4077.5002472364868,-2.003689814781374
20000403,-4076.500524793333,-2.151549750548717
20000404,-4075.500490712,-1.3501975096530114
20000405,-4074.501038423683,-4.002162056849661
20000406,-4073.5002956072167,-1.5187346261342616
20000407,-4072.4992603786977,1.1108660147551532
20000408,-4071.4993688111426,-0.28795414846325107
20000409,-4070.5003159755543,-0.02747479454380297
20000410,-4069.500396944759,-0.675594299338452
20000411,-4068.5007333874673,-2.9070025917455857
20000412,-4067.5009001168783,-2.3648602114259414
20000413,-4066.500835337267,-3.155920630467873
20000414,-4065.500483239386,-0.4954760506884015
20000415,-4064.500341757581,-1.4930153636953674
20000416,-4063.5001601688255,1.2865253753973391
20000417,-4062.500053053922,0.6214111627074201
20000418,-4061.500282968478,-0.6358421165362484
20000419,-4060.499646760787,2.483359738406459
20000420,-4059.4994107546063,5.664669028553009
20000421,-4058.4981352684135,7.5625363081956944
20000422,-4057.4997559453877,5.507555163631714
20000423,-4056.499641911125,3.8644411833637986
20000424,-4055.4994896842345,2.409192817877763
20000425,-4054.4991895001294,5.050384236970311
20000426,-4053.4993990473686,6.051295083118815
20000427,-4052.499942781218,3.3301986866297644
20000428,-4051.4994932510162,4.376715053027518
20000429,-4050.49940368798,2.9586525782153603
20000430,-4049.499281206534,3.5935069083156863
20000501,-4048.499412786621,3.679354513961404
20000502,-4047.5001033241915,2.059284336584098
20000503,-4046.499774334312,3.459200829266848
20000504,-4045.499520230147,5.49165486457796
20000505,-4044.499191818417,7.2115903801216525
20000506,-4043.49837655804,9.278305780046038
20000507,-4042.498596002777,8.256716111410043
20000508,-4041.4985960020094,7.302039997897978
20000509,-4040.4983236775697,9.591439718105887
20000510,-4039.498171557174,10.446431501240857
20000511,-4038.4984709451783,10.16180309215336
20000512,-4037.4982632198207,8.185571555876374
